New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Gramercy (MN0602),Gramercy (MN0602),Gramercy (MN0602),Gramercy (MN0602),Gramercy (MN0602),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Unemployed (percent equivalent to unemployment rate),"337,932","6,401",1.2,7.7%,0.1%,516,173,20.4,3.1%,1.0%,"337,416 ","6,403",4.6 ,1.0
,,,,,,,,,,,
Females 16 years and over,"3,668,464","1,624",0.0,100.0%,,"13,052",958,4.5,100.0%,,"3,655,412 ","1,886",0.0,0.0
In labor force,"2,175,500","6,986",0.2,59.3%,0.2%,"9,127",883,5.9,69.9%,4.4%,"2,166,373 ","7,042",-10.6 ,4.4
Civilian labor force,"2,174,950","6,996",0.2,59.3%,0.2%,"9,127",883,5.9,69.9%,4.4%,"2,165,823 ","7,052",-10.6 ,4.4
Employed,"2,016,577","8,179",0.2,55.0%,0.2%,"8,725",871,6.1,66.8%,4.5%,"2,007,852 ","8,225",-11.8 ,4.5
,,,,,,,,,,,
Own children under 6 years,"564,614","3,422",0.4,100.0%,,"1,232",452,22.3,100.0%,,"563,382 ","3,452",0.0,0.0
All parents in family in labor force,"376,161","4,881",0.8,66.6%,0.7%,"1,130",445,23.9,91.7%,13.1%,"375,031 ","4,901",-25.1 ,13.1
,,,,,,,,,,,
Own children 6 to 17 years,"1,087,217","4,038",0.2,100.0%,,"1,516",499,20.0,100.0%,,"1,085,701 ","4,069",0.0,0.0
All parents in family in labor force,"747,622","6,961",0.6,68.8%,0.5%,"1,304",480,22.4,86.0%,14.1%,"746,318 ","6,978",-17.2 ,14.1


Income and Benefits 
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Gramercy (MN0602),Gramercy (MN0602),Gramercy (MN0602),Gramercy (MN0602),Gramercy (MN0602),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total households,"3,313,316","5,956",0.1,100.0%,,"13,798",885,3.9,100.0%,,"3,299,518 ","6,021",0.0,0.0
"Household income of less than $10,000","236,747","4,245",1.1,7.1%,0.1%,962,284,17.9,7.0%,2.0%,"235,785 ","4,254",0.1,2.0
"$10,000 to $14,999","172,254","3,882",1.4,5.2%,0.1%,422,395,56.9,3.1%,2.9%,"171,832 ","3,902",2.1,2.9
"$15,000 to $24,999","232,549","4,678",1.2,7.0%,0.1%,735,433,35.8,5.3%,3.1%,"231,814 ","4,698",1.7,3.1
