New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,East Harlem (South) (MN1101),East Harlem (South) (MN1101),East Harlem (South) (MN1101),East Harlem (South) (MN1101),East Harlem (South) (MN1101),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Population 16 years and over,"6,960,966","2,408",0.0,100.0%,,"49,182","2,677",3.3,100.0%,,"6,911,784 ","3,601",0.0,0.0
In labor force,"4,412,075","10,974",0.2,63.4%,0.2%,"27,188","1,755",3.9,55.3%,1.9%,"4,384,887 ","11,113",8.1 ,1.9
Civilian labor force,"4,408,428","10,977",0.2,63.3%,0.2%,"27,188","1,755",3.9,55.3%,1.9%,"4,381,240 ","11,116",8.0 ,1.9
Employed,"4,070,496","12,696",0.2,58.5%,0.2%,"24,519","1,649",4.1,49.9%,2.0%,"4,045,977 ","12,803",8.6 ,2.0
Unemployed,"337,932","6,401",1.2,4.9%,0.1%,"2,669",613,14.0,5.4%,1.2%,"335,263 ","6,430",-0.5,1.2
Armed Forces,"3,647",577,9.6,0.1%,0.1%,0,,,,,,,0.1,0.1
Not in labor force,"2,548,891","11,162",0.3,36.6%,0.2%,"21,994","1,965",5.4,44.7%,3.2%,"2,526,897 ","11,334",-8.1 ,3.2
,,,,,,,,,,,
Civilian labor force,"4,408,428","10,977",0.2,100.0%,,"27,188","1,755",3.9,100.0%,,"4,381,240 ","11,116",0.0,0.0
Unemployed (percent equivalent to unemployment rate),"337,932","6,401",1.2,7.7%,0.1%,"2,669",613,14.0,9.8%,2.2%,"335,263 ","6,430",-2.1,2.2
,,,,,,,,,,,
Females 16 years and over,"3,668,464","1,624",0.0,100.0%,,"28,499","2,106",4.5,100.0%,,"3,639,965 ","2,659",0.0,0.0
In labor force,"2,175,500","6,986",0.2,59.3%,0.2%,"14,921","1,306",5.3,52.4%,2.5%,"2,160,579 ","7,107",6.9 ,2.5
Civilian labor force,"2,174,950","6,996",0.2,59.3%,0.2%,"14,921","1,306",5.3,52.4%,2.5%,"2,160,029 ","7,117",6.9 ,2.5
Employed,"2,016,577","8,179",0.2,55.0%,0.2%,"13,469","1,222",5.5,47.3%,2.5%,"2,003,108 ","8,270",7.7 ,2.5
,,,,,,,,,,,
Own children under 6 years,"564,614","3,422",0.4,100.0%,,"3,743",669,10.9,100.0%,,"560,871 ","3,487",0.0,0.0
All parents in family in labor force,"376,161","4,881",0.8,66.6%,0.7%,"2,285",527,14.0,61.0%,8.9%,"373,876 ","4,909",5.6,8.9
,,,,,,,,,,,
Own children 6 to 17 years,"1,087,217","4,038",0.2,100.0%,,"6,357","1,050",10.0,100.0%,,"1,080,860 ","4,172",0.0,0.0
All parents in family in labor force,"747,622","6,961",0.6,68.8%,0.5%,"4,275",880,12.5,67.2%,8.2%,"743,347 ","7,016",1.6,8.2


Income and Benefits 
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,East Harlem (South) (MN1101),East Harlem (South) (MN1101),East Harlem (South) (MN1101),East Harlem (South) (MN1101),East Harlem (South) (MN1101),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total households,"3,313,316","5,956",0.1,100.0%,,"25,874","1,324",3.1,100.0%,,"3,287,442 ","6,101",0.0,0.0
"Household income of less than $10,000","236,747","4,245",1.1,7.1%,0.1%,"3,605",777,13.1,13.9%,2.9%,"233,142 ","4,316",-6.8 ,2.9
"$10,000 to $14,999","172,254","3,882",1.4,5.2%,0.1%,"3,113",970,18.9,12.0%,3.7%,"169,141 ","4,001",-6.8 ,3.7
"$15,000 to $24,999","232,549","4,678",1.2,7.0%,0.1%,"2,944",634,13.1,11.4%,2.4%,"229,605 ","4,721",-4.4 ,2.4
"$25,000 to $34,999","209,643","4,372",1.3,6.3%,0.1%,"2,032",462,13.8,7.9%,1.7%,"207,611 ","4,396",-1.6,1.7
"$35,000 to $49,999","293,907","4,792",1.0,8.9%,0.1%,"2,496",449,10.9,9.6%,1.7%,"291,411 ","4,813",-0.7,1.7
"$50,000 to $74,999","439,817","6,207",0.9,13.3%,0.2%,"3,384",557,10.0,13.1%,2.0%,"436,433 ","6,232",0.2,2.0
"$75,000 to $99,999","358,219","5,234",0.9,10.8%,0.2%,"1,859",407,13.3,7.2%,1.5%,"356,360 ","5,250",3.6 ,1.5
"$100,000 to $149,999","505,509","6,617",0.8,15.3%,0.2%,"1,969",339,10.5,7.6%,1.3%,"503,540 ","6,626",7.7 ,1.3
