New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Midtown South-Flatiron-Union Square (MN0501),Midtown South-Flatiron-Union Square (MN0501),Midtown South-Flatiron-Union Square (MN0501),Midtown South-Flatiron-Union Square (MN0501),Midtown South-Flatiron-Union Square (MN0501),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Family households (families),"1,928,865","9,723",0.3,58.2%,0.3%,"4,256",463,6.6,27.0%,2.6%,"1,924,609 ","9,734",31.2 ,2.6
With own children under 18 years,"764,350","7,647",0.6,23.1%,0.2%,"1,496",273,11.1,9.5%,1.7%,"762,854 ","7,652",13.6 ,1.7
Married-couple family,"1,181,568","8,786",0.5,35.7%,0.3%,"3,662",404,6.7,23.3%,2.2%,"1,177,906 ","8,795",12.4 ,2.2
With own children under 18 years,"475,842","6,019",0.8,14.4%,0.2%,"1,270",239,11.4,8.1%,1.5%,"474,572 ","6,024",6.3 ,1.5
"Male householder, no spouse present, family","187,202","3,793",1.2,5.6%,0.1%,120,76,38.3,0.8%,0.5%,"187,082 ","3,794",4.8 ,0.5
With own children under 18 years,"56,524","2,408",2.6,1.7%,0.1%,48,45,57.4,0.3%,0.3%,"56,476 ","2,408",1.4 ,0.3
"Female householder, no spouse present, family","560,095","5,913",0.6,16.9%,0.2%,474,244,31.3,3.0%,1.5%,"559,621 ","5,918",13.9 ,1.5
With own children under 18 years,"231,984","4,055",1.1,7.0%,0.1%,178,124,42.4,1.1%,0.8%,"231,806 ","4,057",5.9 ,0.8
Nonfamily households,"1,384,451","8,816",0.4,41.8%,0.3%,"11,480",822,4.4,73.0%,3.5%,"1,372,971 ","8,854",-31.2 ,3.5
Householder living alone,"1,105,579","8,546",0.5,33.4%,0.3%,"9,199",821,5.4,58.5%,4.2%,"1,096,380 ","8,585",-25.1 ,4.2
65 years and over,"402,938","4,766",0.7,12.2%,0.1%,"1,943",358,11.2,12.3%,2.2%,"400,995 ","4,779",-0.1,2.2
,,,,,,,,,,,
Households with one or more people under 18 years,"886,906","7,789",0.5,26.8%,0.2%,"1,546",265,10.4,9.8%,1.6%,"885,360 ","7,794",17.0 ,1.6
Households with one or more people 65 years and over,"1,031,541","4,324",0.3,31.1%,0.1%,"2,962",393,8.1,18.8%,2.3%,"1,028,579 ","4,342",12.3 ,2.3
,,,,,,,,,,,
Average household size ,2.51,0.01,0.2,,,1.65,0.13,4.7,,,0.86 ,0.13,,
